Section,Element,Category,Property,Value
"Variant 2","Variant 2","Colors","Color","#ffffff"
"Variant 2","Landing page [Mobile]","Colors","Color","#080e12"
"Variant 2","device","Colors","Color","#080e12"
"Variant 2","Status bar","Colors","Color","#3c3c3c"
"Variant 2","Time","Colors","Color","#ffffff"
"Variant 2","Status/mini","Colors","Color","#ffffff"
"Variant 2","Battery/mini","Colors","Color","#ffffff"
"Variant 2","Cap","Colors","Color","#ffffff"
"Variant 2","Capacity","Colors","Color","#ffffff"
"Variant 2","Wifi","Colors","Color","#ffffff"
"Variant 2","Wifi-path","Colors","Color","#ffffff"
"Variant 2","Cellular","Colors","Color","#ffffff"
"Variant 2","Cellular_Connection-path","Colors","Color","#ffffff"
"Variant 2","hero","Colors","Color","#080e12"
"Variant 2","FWC-26-logo","Colors","Color","#ffffff"
"Variant 2","Vector","Colors","Color","#ffffff"
"Variant 2",".hero-label","Colors","Color","#dddedf"
"Variant 2","11 jun - 19 jul 2026","Colors","Color","#080e12"
"Variant 2","Title","Colors","Color","#f9fafa"
"Variant 2","Main Event","Colors","Color","#f9fafa"
"Variant 2","Text","Colors","Color","#080e12"
"Variant 2","The O2, London","Colors","Color","#b3b9bb"
"Variant 2","9:00 PM GMT","Colors","Color","#f9fafa"
"Variant 2","desc","Colors","Color","#b3b9bb"
"Variant 2","mobile/button","Colors","Color","#f9fafa"
"Variant 2","icon","Colors","Color","#f9fafa"
"Variant 2","divider","Colors","Color","#ffffff"
"Variant 2","Seperator Text","Colors","Color","#ffffff"
"Variant 2","or","Colors","Color","#f9fafa"
"Variant 2","icon-slot","Colors","Color","#ffffff"
"Variant 2","desktop/button","Colors","Color","#ffffff"
"Variant 2","header-mobile","Colors","Color","#080e12"
"Variant 2","dazn vector","Colors","Color","#f9fafa"
"Variant 2","navbar icons","Colors","Color","#ffffff"
"Variant 2","✏️ Title","Colors","Color","#f9fafa"
"Variant 2","time","Colors","Color","#b3b9bb"
"Variant 2","Players/Desktop-Small+Regular","Colors","Color","#1b2326"
"Variant 2","desktop/label","Colors","Color","#f9fafa"
"Variant 2","future","Colors","Color","#080e12"
"Variant 2","Wardley vs. Dubois","Colors","Color","#f9fafa"
"Variant 2","Wembley Arena, London","Colors","Color","#b3b9bb"
"Variant 2","Brown vs. Ducar","Colors","Color","#f9fafa"
"Variant 2","Collins vs. Lorente 2","Colors","Color","#f9fafa"
"Variant 2","AO Arena, Manchester","Colors","Color","#b3b9bb"
"Variant 2","Smith vs. Morrell","Colors","Color","#f9fafa"
"Variant 2","Co-op Live Arena, Manchester","Colors","Color","#b3b9bb"
"Variant 2","Yoka vs. Okolie","Colors","Color","#f9fafa"
"Variant 2","Kingdom Arena, Riyadh","Colors","Color","#b3b9bb"
"Variant 2",".container","Colors","Color","#080e12"
"Variant 2","chevron-left-large","Colors","Color","#ffffff"
"Variant 2","title","Colors","Color","#f9fafa"
"Variant 2","action-check-circle","Colors","Color","#ffffff"
"Variant 2","Best Value Icon","Colors","Color","#080e12"
"Variant 2","Save £179.89 ","Colors","Color","#080e12"
"Variant 2","Header","Colors","Color","#f9fafa"
"Variant 2","12-month minimum term","Colors","Color","#b3b9bb"
"Variant 2","settings-gift","Colors","Color","#ffffff"
"Variant 2","[Price]","Colors","Color","#f9fafa"
"Variant 2","discount","Colors","Color","#ffffff"
"Variant 2","Body copy","Colors","Color","#f9fafa"
"Variant 2","21 Feb at 6:00 PM","Colors","Color","#6d7377"
"Variant 2","Union","Colors","Color","#f9fafa"
"Variant 2","✏️ Body","Colors","Color","#b3b9bb"
"Variant 2","interface-video","Colors","Color","#ffffff"
"Variant 2","devices-device switch","Colors","Color","#ffffff"
"Variant 2","download","Colors","Color","#ffffff"
"Variant 2","Whats included","Colors","Color","#0c161c"
"Variant 2","chevron-left-medium","Colors","Color","#ffffff"
"Variant 2","Frame 2147227809","Colors","Color","#000000"
"Variant 2","Content","Colors","Color","#ffffff"
"Variant 2","content","Colors","Color","#b3b9bb"
"Variant 2","Multiview - up to 4 games, one screen","Colors","Color","#f9fafa"
"Variant 2","text","Colors","Color","#b3b9bb"
"Variant 2","Frame 2147227890","Colors","Color","#000000"
"Variant 2","Frame 2147227892","Colors","Color","#000000"
"Variant 2","Frame 2147227891","Colors","Color","#000000"
"Variant 2","dolby-sound","Colors","Color","#ffffff"
"Variant 2","Frame 2147227893","Colors","Color","#000000"
"Variant 2","action-more-video","Colors","Color","#ffffff"
"Variant 2","Frame","Colors","Color","#ffffff"
"Variant 2","heading","Colors","Color","#f9fafa"
"Variant 2","Rectangle 34647028","Colors","Color","#000000"
"Variant 2","Image Area","Colors","Color","#d9d9d9"
"Variant 2","Discount","Colors","Color","#b3b9bb"
"Variant 2","Frame 2147227442","Colors","Color","#22342d"
"Variant 2","Logo","Colors","Color","#ffffff"
"Variant 2","Highlight","Colors","Color","#0c161c"
"Variant 2","Ellipse 2086","Colors","Color","#f2de6b"
"Variant 2","Promo title","Colors","Color","#ffffff"
"Variant 2","£00.00","Colors","Color","#f9fafa"
"Variant 2","/month","Colors","Color","#b3b9bb"
"Variant 2","toggle","Colors","Color","#3d4549"
"Variant 2","knob","Colors","Color","#f9fafa"
"Variant 2","check","Colors","Color","#ffffff"
"Variant 2","Heading","Colors","Color","#f9fafa"
"Variant 2","highlights","Colors","Color","#ffffff"
"Variant 2","navigation-highlights","Colors","Color","#ffffff"
"Variant 2","Star 4","Colors","Color","#f9fafa"
"Variant 2","settings-home location","Colors","Color","#ffffff"
"Variant 2","teams","Colors","Color","#ffffff"
"Variant 2","Frame 2147224913","Colors","Color","#242d33"
"Variant 2","sports-boxing","Colors","Color","#ffffff"
"Variant 2","Promoters","Colors","Color","#f9fafa"
"Variant 2","Downloads","Colors","Color","#f9fafa"
"Variant 2","devices-device-switch-v1","Colors","Color","#ffffff"
"Variant 2","Live Streaming","Colors","Color","#f9fafa"
"Variant 2","sports-football","Colors","Color","#ffffff"
"Variant 2","Football","Colors","Color","#f9fafa"
"Variant 2","Pricing Section","Colors","Color","#080e12"
"Variant 2","Watch on your favourite devices. anytime, anywhere.","Colors","Color","#f9fafa"
"Variant 2","Catch up on the latest and greatest","Colors","Color","#ced0d2"
"Variant 2","logo","Colors","Color","#242d33"
"Variant 2","Layer_1","Colors","Color","#ffffff"
"Variant 2","svg2985","Colors","Color","#ffffff"
"Variant 2","path3023","Colors","Color","#ffffff"
"Variant 2","path3027","Colors","Color","#ffffff"
"Variant 2","path3031","Colors","Color","#ffffff"
"Variant 2","light","Colors","Color","#ffffff"
"Variant 2","svg8","Colors","Color","#ffffff"
"Variant 2","rect840","Colors","Color","#ffffff"
"Variant 2","path916","Colors","Color","#ffffff"
"Variant 2","path929","Colors","Color","#ffffff"
"Variant 2","path72","Colors","Color","#ffffff"
"Variant 2","path76","Colors","Color","#ffffff"
"Variant 2","path80","Colors","Color","#ffffff"
"Variant 2","Content Block","Colors","Color","#080e12"
"Variant 2","Hero title","Colors","Color","#f9fafa"
"Variant 2","Rectangle 34646436","Colors","Color","#edf3f5"
"Variant 2","Marketing rail","Colors","Color","#0c161c"
"Variant 2","FAQ-01","Colors","Color","#242d33"
"Variant 2","What is FIFA Club World Cup?","Colors","Color","#f9fafa"
"Variant 2","What other sports can I watch on DAZN","Colors","Color","#f9fafa"
"Variant 2","How to watch FIFA Club World Cup?","Colors","Color","#f9fafa"
"Variant 2","Where can I watch?","Colors","Color","#f9fafa"
"Variant 2","How to sign up?","Colors","Color","#f9fafa"
"Variant 2","Footers","Colors","Color","#080e12"
"Variant 2","español","Colors","Color","#f9fafa"
"Variant 2","Français","Colors","Color","#f9fafa"
"Variant 2","Help","Colors","Color","#f9fafa"
"Variant 2","privacy policy and cookie notice","Colors","Color","#f9fafa"
"Variant 2","Terms of use","Colors","Color","#f9fafa"
"Variant 2","Redeem","Colors","Color","#f9fafa"
"Variant 2","Dazn for business","Colors","Color","#f9fafa"
"Variant 2","DAZNTM","Colors","Color","#f9fafa"
"Variant 2","Time","Typography","content","9:41"
"Variant 2","Time","Typography","fontFamily","SF Pro Text"
"Variant 2","Time","Typography","fontSize","15px"
"Variant 2","Time","Typography","fontWeight","600"
"Variant 2","Time","Typography","lineHeight","17.900390625px"
"Variant 2","Time","Typography","letterSpacing","-0.2800000011920929"
"Variant 2","Time","Typography","textAlign","CENTER"
"Variant 2","Time","Typography","color","#ffffff"
"Variant 2","11 jun - 19 jul 2026","Typography","content","Sat 9th May"
"Variant 2","11 jun - 19 jul 2026","Typography","fontFamily","DAZN Oscine"
"Variant 2","11 jun - 19 jul 2026","Typography","fontSize","14px"
"Variant 2","11 jun - 19 jul 2026","Typography","fontWeight","700"
"Variant 2","11 jun - 19 jul 2026","Typography","lineHeight","18.031999588012695px"
"Variant 2","11 jun - 19 jul 2026","Typography","letterSpacing","0"
"Variant 2","11 jun - 19 jul 2026","Typography","textAlign","LEFT"
"Variant 2","11 jun - 19 jul 2026","Typography","color","#080e12"
"Variant 2","Title","Typography","content","Wardley vs. Dubois"
"Variant 2","Title","Typography","fontFamily","DAZN Oscine"
"Variant 2","Title","Typography","fontSize","32px"
"Variant 2","Title","Typography","fontWeight","700"
"Variant 2","Title","Typography","lineHeight","40px"
"Variant 2","Title","Typography","letterSpacing","0"
"Variant 2","Title","Typography","textAlign","CENTER"
"Variant 2","Title","Typography","color","#f9fafa"
"Variant 2","Main Event","Typography","content","Main Event"
"Variant 2","Main Event","Typography","fontFamily","DAZN Oscine"
"Variant 2","Main Event","Typography","fontSize","14px"
"Variant 2","Main Event","Typography","fontWeight","700"
"Variant 2","Main Event","Typography","lineHeight","18.031999588012695px"
