ElementPath,ElementName,Type,Depth,Visible,Width,Height,X,Y,PaddingTop,PaddingBottom,PaddingLeft,PaddingRight,Gap,BorderRadius,FillColor,FillOpacity,BorderColor,BorderWidth,TextContent,FontFamily,FontSize,FontWeight,LineHeight,LetterSpacing,TextAlign,TextColor,LayoutMode,HasShadow
"Checkout","Checkout","FRAME","0","true","375","774","136","-15302","0","0","0","0","0","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact","choose payment compact","FRAME","1","true","375","855","136","-15302","0","0","0","0","10","","#080e12","100%","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body","Slot/Body","FRAME","2","true","375","855","136","-15302","140","0","16","16","20","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Body copy","Body copy","TEXT","3","true","343","42","152","-15162","0","0","0","0","0","","#ffffff","100%","","","Choose how you'll pay for DAZN Standard after your 7-day free trial.","DAZN Oscine","14","400","21px","0","LEFT","#ffffff","",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476","Frame 2147225476","FRAME","3","true","343","522","152","-15100","0","0","0","0","32","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837","Frame 2147226837","FRAME","4","true","343","442","152","-15100","0","0","0","0","16","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884","Frame 2147226884","FRAME","5","true","343","283","152","-15100","0","0","0","0","12","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card","subscription-card","FRAME","6","true","343","283","152","-15100","0","0","0","0","0","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn",".radio btn","FRAME","7","true","343","283","152","-15100","16","16","16","16","16","12","#080e12","100%","#ffffff","2","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > divider","divider","INSTANCE","8","false","290","2","168","-14990","0","0","0","0","0","","","","","","","","","","","","","","",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > Frame 2147225409","Frame 2147225409","FRAME","8","true","311","111","168","-15084","0","0","0","0","12","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > Frame 2147225409 > header","header","FRAME","9","true","311","111","168","-15084","0","0","0","0","12","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > Frame 2147225409 > header > subscription-name","subscription-name","FRAME","10","true","311","111","168","-15084","0","0","0","0","12","","","","","","","","","","","","","","HORIZONTAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > Frame 2147225409 > header > subscription-name > Subscription Header","Subscription Header","FRAME","11","true","311","111","168","-15084","0","0","0","0","4","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > Frame 2147225409 > header > subscription-name > Subscription Header > Subscription Header Container","Subscription Header Container","FRAME","12","true","311","111","168","-15084","0","0","0","0","8","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > Frame 2147225409 > header > subscription-name > Subscription Header > Subscription Header Container > Icon and Text","Icon and Text","FRAME","13","true","311","111","168","-15084","0","0","0","0","8","","","","","","","","","","","","","","VERTICAL",""
"Checkout > choose payment compact > Slot/Body > Frame 2147225476 > Frame 2147226837 > Frame 2147226884 > subscription-card > .radio btn > Frame 2147225409 > header > subscription-name > Subscription Header > Subscription Header Container > Icon and Text > Frame 2147226892","Frame 2147226892","FRAME","14","true","311","24","168","-15084","0","0","0","0","8","","","","","","","","","","","","","","HORIZONTAL",""
